sample_id,predicted_label,detection_confidence,repair_action,original_comment,repaired_comment,repair_status,reason_short,route_to,model_source
463,Obvious,0.95,Remove,immediately send a 200 / OK,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
464,Obvious,0.95,Remove,send a NOTIFY,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
465,Obvious,0.95,Remove,add the timeout task,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
466,Not a smell,0.95,No Change,don't try to tell him anything more,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
467,Not a smell,0.95,No Change,Obtain the MetaContactListService and add this class to it as a listener of all events concerning the contact list.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
468,Not a smell,0.95,No Change,"If the MetaHistoryService is not registered we have nothing to do here. The history could be ""disabled"" from the user through one of the configuration forms.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
469,Obvious,0.9,Rewrite,If this is the selected contact we set it as a selected transport.,Set as selected transport for the selected contact.,repaired,Original comment merely restates the code; replaced with a concise faithful summary.,evaluation,deepseek-v3
470,Not a smell,0.95,No Change,If no current transport is set we choose the first online from the list.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
471,Obvious,0.9,Rewrite,"if still nothing selected, choose the first one",Select the first chat transport if none is currently selected.,repaired,Rephrased for clarity and precision; original was obvious restatement.,evaluation,deepseek-v3
472,Nonlocal info,0.95,Move,DefaultEditorKit.unselectAction,,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
473,Vague,0.525,Rewrite,DefaultEditorKit.toggleComponentOrientation,Action command for toggling component orientation (DefaultEditorKit.toggleComponentOrientation),repaired,Clarified static reference with action purpose to reduce vagueness.,evaluation,deepseek-v3
474,Not a smell,0.675,No Change,Notify the corresponding wizard that the account would be removed.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
475,Not a smell,0.95,No Change,There is no wizard for this account - just show an error dialog:,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
476,Not a smell,0.95,No Change,update buttons whenever an account changes its state,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
477,Not a smell,0.95,No Change,no point in dispatching if there's no one listening,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
478,Not a smell,0.95,No Change,store the ref of the listener in case someone resets it before we've had a chance to notify it.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
479,Not a smell,0.95,No Change,At the end add the possibility to transfer to anyone (Unattended transfer).,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
480,Obvious,0.95,Rewrite,"When we're finished we replace the ""wait cursor"" by the default cursor.",Restore default cursor.,repaired,The original comment merely restates the code; the repair is concise and faithful to the action.,evaluation,deepseek-v3
481,Not a smell,0.95,No Change,The listener has to be removed while the textfield he's listening is being changed:,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
482,Not a smell,0.95,No Change,We delete the old format property because we are going to convert it in the new format,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
483,Not a smell,0.95,No Change,We also make sure to delete this old format property if it exists.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
484,Misleading,0.9,Rewrite,Now we can store the old properties in the new format.,Verify or unverify the fingerprint for the contact based on isVerified.,repaired,Comment incorrectly describes storing properties; actual code is verifying/unverifying fingerprints.,evaluation,deepseek-v3
485,Obvious,0.95,Rewrite,Finally we append the new fingerprint to out stored list of fingerprints.,"Finally, append the new fingerprint to the stored list of fingerprints for this user.",repaired,Fixed typo and clarified target of append.,evaluation,deepseek-v3
486,Not a smell,0.95,No Change,Now we can safely return our list of fingerprints for this contact without worrying that we missed an old format property.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
487,Obvious,0.95,Remove,Load Private Key.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
488,Obvious,0.95,Remove,Load Public Key.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
489,Obvious,0.95,Remove,Generate KeyPair.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
490,Obvious,0.95,Remove,Store Public Key.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
491,Obvious,0.95,Remove,Store Private Key.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
492,Vague,0.95,Rewrite,the parent item,Create the parent menu item for the account.,repaired,"Clarify that this creates the parent menu item for the account, addressing the vagueness of 'the parent item'.",evaluation,deepseek-v3
493,Beautification,0.95,Remove,the submenu itself,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
494,Not a smell,0.85,No Change,"if connectivity less then 1, this is offline one",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
495,Not a smell,0.95,No Change,"there is already scheduled retrieve, will deliver at listener.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
496,Not a smell,0.95,No Change,return null as there is no cache and we will try to retrieve,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
497,Obvious,0.98,Rewrite,Now reinstall the bundle and restart the provider,"Reinstall the bundle and restart the provider, verifying installation and activation states.",repaired,Original comment was obvious; new comment adds verification steps.,evaluation,deepseek-v3
498,Not a smell,0.95,No Change,verify that the provider is not reinstalled,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
499,Obvious,0.95,Remove,make sure we didn't retrieve a service,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
500,Not a smell,0.95,No Change,and a nasty hack at the end - delete the configuration file so that we get a fresh start on next run.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
501,Not a smell,0.6,No Change,Add a separator before adding the specific chat items.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
502,Misleading,0.8,Rewrite,reg the sip account man.,Register the SIP protocol provider factory service.,repaired,Original comment incorrectly suggests registering an account; code registers a service.,evaluation,deepseek-v3
503,Obvious,0.95,Remove,registers the configuration form,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
504,Not a smell,0.95,No Change,"Ignore explicit set role operations, since we only allow modifications from the IRC server.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
505,Obvious,0.85,Rewrite,get the operation set presence here.,Retrieve the MUC operation set.,repaired,Original comment incorrectly mentioned 'presence'; corrected to MUC operation set.,evaluation,deepseek-v3
506,Not a smell,0.95,No Change,we also need the presence op set in order to retrieve contacts.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
507,Obvious,0.95,Rewrite,if the op set is null show that we're not happy.,Throw NullPointerException if opSetPresence1 is null.,repaired,"Rewritten to clearly state the null check and exception behavior, removing informal tone.",evaluation,deepseek-v3
508,Not a smell,0.95,No Change,the contact already exist its OK,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
509,Task,0.95,Remove,"@todo the following two must be tested, they regulary fail, so we are disabling them until fixed. suite.addTest( new TestOperationSetMultiUserChat2(""testNickName""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
510,Commented out code,0.95,Remove,"suite.addTest( new TestOperationSetMultiUserChat2(""testRoomSubject""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
511,Commented out code,1.0,Remove,"suite.addTest( new TestOperationSetMultiUserChat2(""testConferenceChat""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
512,Commented out code,1.0,Remove,"suite.addTest( new TestOperationSetMultiUserChat2(""testRevokeMembership""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
513,Commented out code,0.95,Remove,"suite.addTest( new TestOperationSetMultiUserChat2(""testGrantMembership""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
514,Commented out code,0.98,Remove,"suite.addTest(new TestOperationSetMultiUserChat2(""testGrantAdmin""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
515,Obvious,0.98,Remove,"suite.addTest(new TestOperationSetMultiUserChat2(""testGrantOwnership""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
516,Commented out code,0.99,Remove,"suite.addTest( new TestOperationSetMultiUserChat2(""testRevokeOwnership""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
517,Commented out code,0.95,Remove,"suite.addTest(new TestOperationSetMultiUserChat2(""testRevokeAdmin""));",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
518,Obvious,0.95,Remove,we create the test room,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
519,Commented out code,0.95,Remove,"Room listing has been disabled on testing server,        so skip checks        // and check if it exists on the server        List<String> existingRooms = opSetMUC1.getExistingChatRooms();        for (String roomName : existingRooms)        {            if (roomName.equals(opSet1Room.getName()))            {                return; // ok the created room is listed on server            }        }        fail(""the new created room is not listed on server"");",,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
520,Not a smell,0.9,No Change,is the joined room list up to date ?,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
521,Obvious,0.95,Rewrite,ok opSet1Room is on the joined rooms list,Return if room already joined,repaired,Original comment redundantly restates the obvious; rewritten to be concise.,evaluation,deepseek-v3
522,Not a smell,0.95,No Change,"//findRoom always returns ChatRoom instance. If it doesn't exists in         //the cache it creates an instance of ChatRoom.        try        {            foundRoom = opSetMUC1.findRoom(""WhoCreatedThatRoom"");        }        catch (Exception ex)        {            //ok, no one created a room named ""WhoCreatedThatRoom""        }        assertNull(""wasnt expecting to find the room named "" +            ""'WhoCreatedThatRoom' on server"", foundRoom);",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
523,Not a smell,0.95,No Change,"to find the existing room created with opSetMUC1, we will use opSetMUC2 to be sure the room will not be retrieved from opSetMUC1 cache",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
524,Not a smell,0.9,No Change,an invitation user2 must reject,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
525,Obvious,0.95,Rewrite,now we look if user2 received an event,Assert that user2 received the invitation event.,repaired,The original comment was vague and slightly misleading; rewrite to directly state what the assertion verifies.,evaluation,deepseek-v3
526,Not a smell,0.95,No Change,does the invitation comes from user1 with the correct reason,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
527,Not a smell,0.7,No Change,user2 reject the invitation as planned,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
528,Irrelevant,0.8,Remove,is user1 aware his invitation has been declined,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
529,Obvious,0.9,Remove,who declined the invitation and why,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
530,Obvious,0.9,Remove,make sure the invitation has been received,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
531,Vague,0.45,Rewrite,user accept the invitation,User accepts the invitation and joins the target chat room.,repaired,Original was vague; rewritten to clarify the action and its relation to the code.,evaluation,deepseek-v3
532,Not a smell,0.9,No Change,listening for user2 own join,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
533,Not a smell,0.9,No Change,listening for user1 join,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
534,Not a smell,0.95,No Change,listening for user2 join,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
535,Vague,0.6,Rewrite,we know check if both member received events,Assert both members received the join event.,repaired,The original comment was vague and grammatically incorrect; rewrite clarifies the assertion intent.,evaluation,deepseek-v3
536,Not a smell,0.6375,No Change,is user2 notified of its own join,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
537,Nonlocal info,0.5737,Move,both sides should report the same members number. here we use opSet2Room.getMembers().size() rather than opSet2Room.getMembersCount() because the last method will not be always accurate for a newly joined jabber room (stated in the smack lib),,moved,Moved nonlocal note out of inline comment.,evaluation,deepseek-v3
538,Not a smell,0.85,No Change,user2 must be on room members list now,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
539,Misleading,0.5625,Rewrite,and he must be listed on both sides,user's nickname is listed from the peer side,repaired,Original comment incorrectly claimed 'both sides' but code only checks one member list.,evaluation,deepseek-v3
540,Not a smell,0.95,No Change,first be sure to be outside the room,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
541,Vague,0.7,Rewrite,does users received events since a member joined,Check that a user received an event when another member joined the room.,repaired,Original comment was grammatically incorrect and vague; rewrite clarifies the specific check for event reception after a member join.,evaluation,deepseek-v3
542,Obvious,0.95,Rewrite,checking if the user is listed with the right nickname,"After a user joins a room, their nickname must appear in the member list.",repaired,Original comment was obvious; rewrote to explain business rule.,evaluation,deepseek-v3
543,Vague,0.9,Rewrite,and we check on the other side,Verify that the user's nickname is in the other peer's member list after join.,repaired,Original comment was vague; rewritten to clearly describe the assertion.,evaluation,deepseek-v3
544,Obvious,0.9,Remove,leaving,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
545,Not a smell,0.95,No Change,the nickname shouldnt be listed anymore,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
546,Not a smell,0.45,No Change,and the other side,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
547,Vague,0.65,Rewrite,does user1 received notifcation since user2 left,Check that user1 receives exactly one notification when user2 leaves the room.,repaired,Original comment had spelling errors and was vague; clarified intent based on assertion.,evaluation,deepseek-v3
548,Obvious,0.9,Remove,checking the nickname from the peer side,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
549,Obvious,0.95,Remove,change the nickname,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
550,Not a smell,0.95,No Change,user should be listed with his new nick name,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
551,Obvious,0.9,Rewrite,user2 have to wait for the event,User2 must wait for the event,repaired,Corrected grammar to state necessity clearly.,evaluation,deepseek-v3
552,Not a smell,0.92,No Change,previous nickname should not rest on the list after change,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
553,Not a smell,0.95,No Change,trying to steal a nickname,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
554,Not a smell,0.95,No Change,stealing nickname is not allowed by the room,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
555,Obvious,0.9,Remove,building and checking the message,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
556,Irrelevant,0.85,Remove,ship it,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
557,Not a smell,0.6,No Change,does every member received the message,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
558,Vague,0.95,Rewrite,what happened on user2 side,Verify the event type from user2's side.,repaired,Original comment is vague; rewritten to clearly indicate the purpose of the assertion.,evaluation,deepseek-v3
559,Not a smell,0.833,No Change,"when an user is kicked or banned, the smack lib deliver corresponding events to remaining room members but nothing to the kicked or banned user. altough, if we dont wait some amount of time, the banned user could still been reported as joined on his side.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
560,Not a smell,0.95,No Change,user2 has not been only kicked but banned so he must not be able to join,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
561,Not a smell,0.95,No Change,"when an user is kicked or banned, the smack lib deliver corresponding events to remaining room members but nothing to the kicked or banned user. altough, if we dont wait some amount of time, the banned user could stils been reported as joined on his side.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
562,Not a smell,0.95,No Change,"contrary to a ban, an user can join after been kicked",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
563,Obvious,0.95,Remove,We create the test room,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
564,Obvious,0.95,Rewrite,wait for user1,Ensure user1 has joined before proceeding.,repaired,Original comment merely restates the method name; rewritten to provide rationale for waiting.,evaluation,deepseek-v3
565,Not a smell,0.97,No Change,User1 who just created the room is supposed to be the owner:,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
566,Not a smell,0.92,No Change,Both of our peers join the room:,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
567,Misleading,0.9,Rewrite,wait for user2,wait for user1's event,repaired,Original comment misidentified user; code waits on user1 collector.,evaluation,deepseek-v3
568,Misleading,0.95,Rewrite,wait for user3,wait for event from roomUser1Collector,repaired,Original comment incorrectly referred to user3; corrected to reflect actual collector.,evaluation,deepseek-v3
569,Obvious,0.95,Rewrite,Three members are supposed to be in the room:,The room should contain three members.,repaired,Comment merely restates the assertion; rewording to be slightly more concise.,evaluation,deepseek-v3
570,Not a smell,0.95,No Change,"We are sure two of these members are our peers (checked before the last assertion), now we make sure they are both members: (Note that the first element of the list refers to the owner)",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
571,Obvious,0.95,Rewrite,Owner of the room grants user2 member rights:,Grant membership to user2 from room owner,repaired,Clarified that roomUser1 acts as owner granting membership to user2,evaluation,deepseek-v3
572,Obvious,0.9,Rewrite,Owner of the room grants user2 moderator rights:,Grant moderator rights to user2 from roomUser1.,repaired,"Corrected inaccurate 'Owner' to specific variable, removed colon, concise restatement.",evaluation,deepseek-v3
573,Misleading,0.85,Rewrite,User2 (moderator role) revokes voice right to user2 (guest):,User2 (moderator) revokes voice right from user3 (guest),repaired,Original comment incorrectly stated user2 revoking from user2 instead of user3.,evaluation,deepseek-v3
574,Misleading,0.95,Rewrite,User2 of the room grants voice right to user2:,roomUser2 grants voice right to user3,repaired,Comment incorrectly stated user2 instead of user3 as the recipient of voice grant.,evaluation,deepseek-v3
575,Not a smell,0.95,No Change,Owner of the room grants administrator rights to user2:,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
576,Obvious,0.95,Rewrite,Owner of the room grants ownership privileges to user2:,The room owner grants ownership privileges to user2.,repaired,Rewording for clarity and correctness; original was slightly ambiguous.,evaluation,deepseek-v3
577,Obvious,0.95,Rewrite,Owner of the room revokes user2 member rights:,Revoke user2's membership.,repaired,"Original comment merely restates the obvious action of the code, adding no new information. Rewritten to be concise while faithful to the code.",evaluation,deepseek-v3
578,Obvious,0.95,Remove,create the uid,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
579,Not a smell,0.95,No Change,First try to ask the capabilities operation set if such is available.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
580,Obvious,0.95,Rewrite,if the current default contact supports the requested operationSet we use it,Use the default contact if it supports the requested operation set.,repaired,Reworded to be more concise and grammatically correct while preserving the same meaning.,evaluation,deepseek-v3
581,Obvious,0.85,Rewrite,We filter to care only about contact which support the needed opset.,Filter out contacts that do not support the required operation set.,repaired,Rewrote the obvious comment to be clear and grammatical.,evaluation,deepseek-v3
582,Not a smell,0.95,No Change,the caller is willing to perform a lengthy operation so let's query the proto contacts for their avatars.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
583,Obvious,0.95,Rewrite,"if we got a result from the above, then let's cache and return it.",Cache and return result if it is non-null and non-empty.,repaired,"Rewrote obvious restatement into concise, clear instruction.",evaluation,deepseek-v3
584,Not a smell,0.95,No Change,if we get here then the caller is probably not willing to perform network operations and opted for a lazy retrieve (... or the queryAvatar method returned null because we are calling it too often),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
585,Obvious,0.95,Rewrite,"we already have a cached avatar, so let's return it",Return cached avatar if available.,repaired,Original comment restated code; made more concise.,evaluation,deepseek-v3
586,Not a smell,0.95,No Change,no cached avatar. let's try the file system for previously stored ones. (unless we already did this),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
587,Obvious,0.95,Remove,Re-init the default contact.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
588,Obvious,0.9,Rewrite,"if this is our first contact and we don't already have a display name, use theirs.",Set display name from first contact if not already set.,repaired,"Removed obvious restatement, kept essential condition.",evaluation,deepseek-v3
589,Not a smell,0.95,No Change,be careful not to use setDisplayName() here cause this will bring us into a deadlock.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
590,Not a smell,0.9,No Change,Check if the capabilities operation set is available for this contact and add a listener to it in order to track capabilities' changes for all contained protocol contacts.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
591,Not a smell,0.95,No Change,first lightremove or otherwise we won't be able to get hold of the contact,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
592,Vague,0.85,Rewrite,now read it and the contact would be automatically placed properly by the containing group,"If a parent group exists, automatically add this contact to it.",repaired,Clarifies vague reference 'it' and describes the conditional addition.,evaluation,deepseek-v3
593,Misleading,0.95,Rewrite,Check if the capabilities operation set is available for this contact and add a listener to it in order to track capabilities' changes for all contained protocol contacts.,Remove capabilities for this contact if the capabilities operation set is available.,repaired,"The original comment mentions adding a listener, but the code only removes capabilities.",evaluation,deepseek-v3
594,Obvious,0.95,Rewrite,"if the default contact has been modified, set it to null","If modified and default contact is not in protoContacts, set it to null",repaired,"Original omitted the second condition, making it misleading.",evaluation,deepseek-v3
595,Not a smell,0.95,No Change,"This should not happen, because this method is called explicitly for events coming from the capabilities operation set.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
596,Not a smell,0.95,No Change,remove contact from opSet to contact mapping,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
597,Not a smell,0.95,No Change,remove opSets that have no associated contact,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
598,Not a smell,0.95,No Change,Search for plugin components registered through the OSGI bundle context.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
599,Obvious,0.95,Remove,set packet logging to ice4j stack,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
600,Not a smell,0.95,No Change,"use native code (JNI) to find source address for a specific         * destination address on Windows XP SP1 and over.         *         * For other systems, we used method based on DatagramSocket.connect         * which will returns us source address. The reason why we cannot use it         * on Windows is because its socket implementation returns the any         * address...",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
601,Not a smell,0.95,No Change,95/98/Me/NT,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
602,Vague,0.9,Rewrite,2000,Exclude Windows 2000,repaired,Clarifies vague comment '2000' to specify exclusion of Windows 2000.,evaluation,deepseek-v3
603,Not a smell,0.95,No Change,no point in making sure that the localHostFinderSocket is initialized. better let it through a NullPointerException.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
604,Not a smell,0.95,No Change,windows socket implementations return the any address so we need to find something else here ... InetAddress.getLocalHost seems to work better on windows so let's hope it'll do the trick.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
605,Irrelevant,0.95,Remove,all that's inside the if is an ugly IPv6 hack (good ol' IPv6 - always causing more problems than it solves.),,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
606,Not a smell,0.95,No Change,return the first globally routable ipv6 address we find on the machine (and hope it's a good one),,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
607,Not a smell,0.6375,No Change,an IPv4 destination,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
608,Obvious,0.9,Remove,Make sure we got an IPv4 address.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
609,Not a smell,0.95,No Change,return the first non-loopback interface we find.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
610,Task,0.85,Remove,sigh ... ok return 0.0.0.0,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
611,Not a smell,0.4125,No Change,try reflection,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
612,Not a smell,0.95,No Change,maybe getHardwareAddress not available on this JVM try         * with our JNI,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
613,Not a smell,0.95,No Change,we'll try to bind so that we could notify the caller if the port has been taken already.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
614,Not a smell,0.95,No Change,if we're here then the port was free.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
615,Not a smell,0.95,No Change,there's no point in implementing this method as we have no way of knowing whether the current property change event is the only event we're going to get or whether another one is going to follow..,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
616,Not a smell,0.95,No Change,we'll first try to bind to a random port. if this fails we'll try again (bindRetries times in all) until we find a free local port.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
617,Not a smell,0.95,No Change,we succeeded - break so that we don't try to bind again,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
618,Not a smell,0.95,No Change,port seems to be taken. try another one.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
619,Obvious,0.9,Remove,make sure port numbers are valid,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
620,Obvious,0.95,Remove,make sure minPort comes before maxPort.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
621,Misleading,0.97,Rewrite,"if preferredPort is not  in the allowed range, place it at min.","if preferredPort is not in the allowed range, throw an IllegalArgumentException",repaired,Comment incorrectly says 'place it at min' but code throws an exception.,evaluation,deepseek-v3
622,Not a smell,0.95,No Change,"yay! we seem to have a TURN server, so we'll be using it for both TURN and STUN harvesting.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
623,Not a smell,0.95,No Change,srvrAddres was null. try for a STUN only server.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
624,Not a smell,0.95,No Change,srvrAddress was still null. sigh ...,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
625,Not a smell,0.9,No Change,Initialize moveTo menu.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
626,Not a smell,0.525,No Change,adds contacts group if it is visible,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
627,Obvious,0.9,Remove,Initialize removeContact menu.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
628,Not a smell,0.95,No Change,add all the contacts that support telephony to the call menu,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
629,Not a smell,0.95,No Change,"if a separator is the last item, remove it",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
630,Not a smell,0.95,No Change,"There is only one contact, so a submenu is unnecessary - just add a single menu item.  It masquerades as an item to delete all contacts as that way we don't have to specify the contact's address.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
631,Obvious,0.95,Rewrite,If we have more than one request to make.,Add multi-contact request menu when there are multiple auth requests.,repaired,"Rephrased to focus on the action taken, reducing obvious restatement of condition.",evaluation,deepseek-v3
632,Obvious,0.9,Rewrite,If we have more than one protocol contacts and only one need authorization or we have only one contact that needs authorization.,"If exactly one authorization request is pending, or the only contact in the metaContact requires authorization and is not already subscribed.",repaired,Original comment was misleading and incorrectly described 'more than one protocol contacts'; rewrote to match actual condition.,evaluation,deepseek-v3
633,Not a smell,0.95,No Change,Disable all menu items that do nothing.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
634,Not a smell,0.95,No Change,If the resource is only one we don't want to pass it to call operations.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
635,Not a smell,0.95,No Change,Try to select the preferred protocol provider.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
636,Obvious,0.95,Remove,Obtain the corresponding chat panel.,,removed,Removed by policy for this smell label.,evaluation,deepseek-v3
637,Not a smell,0.95,No Change,"If we have more than one protocol contacts, but just one of them needs authorization.",,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
638,Not a smell,0.9,No Change,If we have only one protocol contact and it needs authorization.,,skipped_clean,Predicted clean; no repair attempted.,evaluation,deepseek-v3
